2020-04-23 03:03:26 configure libc6-dev:amd64 2.28-10 <none>
2020-04-23 03:03:26 status unpacked libc6-dev:amd64 2.28-10
2020-04-23 03:03:26 status half-configured libc6-dev:amd64 2.28-10
2020-04-23 03:03:26 status installed libc6-dev:amd64 2.28-10
2020-04-23 03:03:26 configure libexpat1-dev:amd64 2.2.6-2+deb10u1 <none>
2020-04-23 03:03:26 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:26 status half-configured libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:26 status installed libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:26 configure uuid-dev:amd64 2.33.1-0.1 <none>
2020-04-23 03:03:26 status unpacked uuid-dev:amd64 2.33.1-0.1
2020-04-23 03:03:26 status half-configured uuid-dev:amd64 2.33.1-0.1
2020-04-23 03:03:26 status installed uuid-dev:amd64 2.33.1-0.1
2020-04-23 03:03:26 configure libsctp-dev:amd64 1.0.18+dfsg-1 <none>
2020-04-23 03:03:26 status unpacked libsctp-dev:amd64 1.0.18+dfsg-1
2020-04-23 03:03:26 status half-configured libsctp-dev:amd64 1.0.18+dfsg-1
2020-04-23 03:03:26 status installed libsctp-dev:amd64 1.0.18+dfsg-1
2020-04-23 03:03:26 configure libapr1-dev:amd64 1.6.5-1+b1 <none>
2020-04-23 03:03:26 status unpacked libapr1-dev:amd64 1.6.5-1+b1
2020-04-23 03:03:26 status half-configured libapr1-dev:amd64 1.6.5-1+b1
2020-04-23 03:03:26 status installed libapr1-dev:amd64 1.6.5-1+b1
2020-04-23 03:03:26 configure libaprutil1-dev:amd64 1.6.1-4 <none>
2020-04-23 03:03:26 status unpacked libaprutil1-dev:amd64 1.6.1-4
2020-04-23 03:03:26 status half-configured libaprutil1-dev:amd64 1.6.1-4
2020-04-23 03:03:26 status installed libaprutil1-dev:amd64 1.6.1-4
2020-04-23 03:03:26 trigproc libc-bin:amd64 2.28-10 <none>
